epoch,train_loss,train_acc,val_top1,val_top5,L_ae,L_diff,L_diffkd,T_curr,lr
23,5.75897962130033,0.1602564102564102,0.0,0.0,0.3548709259583399,0.3734639811210143,0.8636773965297602,711,0.0396539723983453
24,5.69476545040424,0.1376903044871794,0.0,0.0,0.3505587064302884,0.3780682424704233,0.867679254213969,707,0.0395624573871142
25,5.702170574970735,0.1443709935897436,0.3488,0.6197,0.3431637383424318,0.3770455314562871,0.8694939607228989,703,0.0394603490034265
26,5.70377031473013,0.1237780448717948,0.0,0.0,0.33720229833554,0.3812888654378744,0.872417944822556,699,0.0393477025407733
27,5.653468220050518,0.1495993589743589,0.0,0.0,0.3331296081726367,0.3834480427778684,0.8769780259865981,695,0.0392245789992015
28,5.617634066557273,0.1377103365384615,0.0,0.0,0.3284145454565684,0.3864973682623643,0.8792737129407051,691,0.0390910450522807
29,5.583751563536815,0.1509815705128205,0.0,0.0,0.3238679774296589,0.3877031900943854,0.8794842472443214,687,0.0389471730109989
30,5.573420512370574,0.1491786858974359,0.3611,0.6409,0.3192462427493853,0.3904452088551643,0.8806842580819741,683,0.0387930407846045
31,5.486952982193384,0.162900641025641,0.0,0.0,0.3160279990770878,0.3934488565493853,0.8835027826138032,679,0.0386287318384173
32,5.542968204693916,0.1630408653846153,0.0,0.0,0.3101848418896015,0.3952822695939968,0.8869739177899483,675,0.03845433514863
33,5.543201006375826,0.1683092948717948,0.0,0.0,0.3056617871308938,0.3979094497668437,0.8869352557720283,671,0.0382699451541268
34,5.468792511866643,0.1549178685897436,0.0,0.0,0.3026706515214382,0.4023046617324535,0.8883126683724232,667,0.0380756617053426
35,5.452791558779203,0.1798177083333333,0.3783,0.6501,0.2990672840521886,0.4059471040199964,0.8892790280855619,663,0.0378715900101922
36,5.473044913854355,0.1683193108974359,0.0,0.0,0.2945462034298823,0.4077468052888527,0.8883538991977007,659,0.0376578405770986
37,5.493595930246206,0.1818309294871795,0.0,0.0,0.2899470867254795,0.4081752482133034,0.8897847426243317,655,0.0374345291551506
38,5.387430058992826,0.1811097756410256,0.0,0.0,0.2885763752154814,0.4141520738601684,0.8884728700686724,651,0.0372017766714227
39,5.368105233021272,0.1704126602564102,0.0,0.0,0.2849206704359788,0.4149301290512085,0.8875905137795669,646,0.0369597091654907
40,5.234121014521672,0.1955228365384615,0.4055,0.6767,0.2840385464521555,0.417600506849778,0.881661242705125,642,0.0367084577211795
41,5.242591361510448,0.2044671474358974,0.0,0.0,0.2802028845518063,0.4209682528789227,0.8821023082121825,638,0.0364481583955785
42,5.2901596338321,0.1778745993589743,0.0,0.0,0.2760512851751767,0.4239909237776047,0.8831761167599604,634,0.0361789521453644
43,5.273013535524026,0.167578125,0.0,0.0,0.2725441653759051,0.4256683268608191,0.8814124602537888,630,0.035900984750471
44,5.217964751903828,0.1900140224358974,0.0,0.0,0.2705761548800346,0.4269162457722883,0.8803627365674728,626,0.0356144067351461
45,5.210121347965338,0.2217447916666666,0.4184,0.6883,0.267332127613899,0.4293401977954766,0.8791044491987962,622,0.0353193732864405
46,5.250417714241223,0.2014823717948718,0.0,0.0,0.2639034469158221,0.4333509133412287,0.8784836833293621,618,0.0350160441701716
47,5.140985816564315,0.1974959935897436,0.0,0.0,0.2627292108077269,0.4350015641787113,0.8748460965278821,614,0.0347045836444067
48,5.124488666730049,0.1948317307692307,0.0,0.0,0.260198059448829,0.435931032590377,0.8726087502944164,610,0.034385160370515
